StartingStation,EndingStation,TubeLine
Harrow & Wealdstone,Kenton,Bakerloo
Kenton,South Kenton,Bakerloo
South Kenton,North Wembley,Bakerloo
North Wembley,Wembley Central,Bakerloo
Wembley Central,Stonebridge Park,Bakerloo
Stonebridge Park,Harlesden,Bakerloo
Harlesden,Willesden Junction,Bakerloo
Willesden Junction,Kensal Green,Bakerloo
Kensal Green,Queen's Park,Bakerloo
Queen's Park,Kilburn Park,Bakerloo
Kilburn Park,Maida Vale,Bakerloo
Maida Vale,Warwick Avenue,Bakerloo
Warwick Avenue,Paddington,Bakerloo
Paddington,Edgware Road,Bakerloo
Edgware Road,Marylebone,Bakerloo
Marylebone,Baker Street,Bakerloo
Baker Street,Regent's Park,Bakerloo
Regent's Park,Oxford Circus,Bakerloo
Oxford Circus,Piccadilly Circus,Bakerloo
Piccadilly Circus,Charing Cross,Bakerloo
Charing Cross,Embankment,Bakerloo
Embankment,Waterloo,Bakerloo
Waterloo,Lambeth North,Bakerloo
Lambeth North,Elephant & Castle,Bakerloo
West Ruislip,Ruislip Gardens,Central
Ruislip Gardens,South Ruislip,Central
South Ruislip,Northolt,Central
Northolt,Greenford,Central
Greenford,Perivale,Central
Perivale,Hanger Lane,Central
Hanger Lane,North Acton,Central
Ealing Broadway,West Acton,Central
West Acton,North Acton,Central
North Acton,East Acton,Central
East Acton,White City,Central
White City,Shepherd's Bush,Central
Shepherd's Bush,Holland Park,Central
Holland Park,Notting Hill Gate,Central
Notting Hill Gate,Queensway,Central
Queensway,Lancaster Gate,Central
Lancaster Gate,Marble Arch,Central
Marble Arch,Bond Street,Central
Bond Street,Oxford Circus,Central
Oxford Circus,Tottenham Court Road,Central
Tottenham Court Road,Holborn,Central
Holborn,Chancery Lane,Central
Chancery Lane,St. Paul's,Central
St. Paul's,Bank/Monument,Central
Bank/Monument,Liverpool Street,Central
Liverpool Street,Bethnal Green,Central
Bethnal Green,Mile End,Central
Mile End,Stratford,Central
Stratford,Leyton,Central
Leyton,Leytonstone,Central
Leytonstone,Wanstead,Central
Wanstead,Redbridge,Central
Redbridge,Gants Hill,Central
Gants Hill,Newbury Park,Central
Newbury Park,Barkingside,Central
Barkingside,Fairlop,Central
Fairlop,Hainault,Central
Hainault,Grange Hill,Central
Grange Hill,Chigwell,Central
Chigwell,Roding Valley,Central
Roding Valley,Woodford,Central
Leytonstone,Snaresbrook,Central
Snaresbrook,South Woodford,Central
South Woodford,Woodford,Central
Woodford,Buckhurst Hill,Central
Buckhurst Hill,Loughton,Central
Loughton,Debden,Central
Debden,Theydon Bois,Central
Theydon Bois,Epping,Central
Paddington,Edgware Road,Circle
Edgware Road,Baker Street,Circle
Baker Street,Great Portland Street,Circle
Great Portland Street,Euston Square,Circle
Euston Square,King's Cross St. Pancras,Circle
King's Cross St. Pancras,Farringdon,Circle
Farringdon,Barbican,Circle
Barbican,Moorgate,Circle
Moorgate,Liverpool Street,Circle
Liverpool Street,Aldgate,Circle
Aldgate,Tower Hill,Circle
Tower Hill,Bank/Monument,Circle
Bank/Monument,Cannon Street,Circle
Cannon Street,Mansion House,Circle
Mansion House,Blackfriars,Circle
Blackfriars,Temple,Circle
Temple,Embankment,Circle
Embankment,Westminster,Circle
Westminster,St. James' Park,Circle
St. James' Park,Victoria,Circle
Victoria,Sloane Square,Circle
Sloane Square,South Kensington,Circle
South Kensington,Gloucester Road,Circle
Gloucester Road,High Street Kensington,Circle
High Street Kensington,Notting Hill Gate,Circle
Notting Hill Gate,Bayswater,Circle
Bayswater,Paddington,Circle
Ealing Broadway,Ealing Common,District
Ealing Common,Acton Town,District
Acton Town,Chiswick Park,District
Chiswick Park,Turnham Green,District
Wimbledon,Wimbledon Park,District
Wimbledon Park,Southfields,District
Southfields,East Putney,District
East Putney,Putney Bridge,District
Putney Bridge,Parsons Green,District
Parsons Green,Fulham Broadway,District
Fulham Broadway,West Brompton,District
West Brompton,Earls' Court,District
Olympia,Earls' Court,District
Edgware Road,Paddington,District
Paddington,Bayswater,District
Bayswater,Notting Hill Gate,District
Notting Hill Gate,High Street Kensington,District
High Street Kensington,Earls' Court,District
Richmond,Kew Gardens,District
Kew Gardens,Gunnersbury,District
Gunnersbury,Turnham Green,District
Turnham Green,Stamford Brook,District
Stamford Brook,Ravenscourt Park,District
Ravenscourt Park,Hammersmith,District
Hammersmith,Barons Court,District
Hammersmith,Barons Court,District
Barons Court,West Kensington,District
West Kensington,Earls' Court,District
Earls' Court,Gloucester Road,District
Gloucester Road,South Kensington,District
South Kensington,Sloane Square,District
Sloane Square,Victoria,District
Victoria,St. James' Park,District
St. James' Park,Westminster,District
Westminster,Embankment,District
Embankment,Temple,District
Temple,Blackfriars,District
Blackfriars,Mansion House,District
Mansion House,Cannon Street,District
Cannon Street,Bank/Monument,District
Bank/Monument,Tower Hill,District
Tower Hill,Aldgate East,District
Aldgate East,Whitechapel,District
Whitechapel,Stepney Green,District
Stepney Green,Mile End,District
Mile End,Bow Road,District
Bow Road,Bromley-by-Bow,District
Bromley-by-Bow,West Ham,District
West Ham,Plaistow,District
Plaistow,Upton Park,District
Upton Park,East Ham,District
East Ham,Barking,District
Barking,Upney,District
Upney,Becontree,District
Becontree,Dagenham Heathway,District
Dagenham Heathway,Dagenham East,District
Dagenham East,Elm Park,District
Elm Park,Hornchurch,District
Hornchurch,Upminster Bridge,District
Upminster Bridge,Upminster,District
Shoreditch,Whitechapel,East London
Whitechapel,Shadwell,East London
Shadwell,Wapping,East London
Wapping,Rotherhithe,East London
Rotherhithe,Canada Water,East London
Canada Water,Surrey Quays,East London
Surrey Quays,New Cross Gate,East London
Surrey Quays,New Cross,East London
